Model name;missing;additional;merged;splitted;2 wrong sequences;random sequences;AND -> XOR;XOR -> AND;XOR -> SEQ;AND -> SEQ
2-1.xml;;;;;x;x;x;;;
2-1.xml;;;;;x;x;x;;;
2-2.xml;;;x;;;;;x;;x
2-2.xml;;;x;;;;;x;;x
3-1.xml;x;;x;;x;;;;;
3-1.xml;x;;x;;x;;;;;
3-2.xml;;;x;;;x;;;;x
3-2.xml;;;x;;;x;;;;x
3-3.xml;;x;x;;;;;x;;
3-3.xml;;x;x;;;;;x;;
3-5.xml;;;;;;x;;x;;x
3-5.xml;;;;;;x;;x;;x
3-6.xml;;x;x;;;x;;;;
3-6.xml;;x;x;;;x;;;;
3-7.xml;x;;x;;x;;;;;
3-7.xml;x;;x;;x;;;;;
3-8.xml;x;;;;;x;;;x;
3-8.xml;x;;;;;x;;;x;
4-1.xml;x;x;;;x;;;;;
4-1.xml;x;x;;;x;;;;;
5-1.xml;x;x;;;;;;;x;
5-1.xml;x;x;;;;;;;x;
5-2.xml;x;;;;x;x;;;;
5-2.xml;x;;;;x;x;;;;
5-3.xml;x;x;;;;x;;;;
5-3.xml;x;x;;;;x;;;;
5-4.xml;x;x;;;x;;;;;
5-4.xml;x;x;;;x;;;;;
6-1.xml;x;;x;;;;;x;;
6-1.xml;x;;x;;;;;x;;
6-2.xml;x;x;;;;x;;;;
6-2.xml;x;x;;;;x;;;;
6-3.xml;;;x;;;x;;x;;
6-3.xml;;;x;;;x;;x;;
6-4.xml;;x;;;x;x;;;;
6-4.xml;;x;;;x;x;;;;
7-1.xml;x;x;;;x;;;;;
7-1.xml;x;x;;;x;;;;;
8-1.xml;x;;x;;;x;;;;
8-1.xml;x;;x;;;x;;;;
8-2.xml;x;x;;;;;;x;;
8-2.xml;x;x;;;;;;x;;
8-3.xml;x;x;x;;;;;;;
8-3.xml;x;x;x;;;;;;;
9-1.xml;;;x;;x;;;;x;
9-1.xml;;;x;;x;;;;x;
9-2.xml;;;x;;;;;x;x;
9-2.xml;;;x;;;;;x;x;
9-3.xml;x;;;;x;x;;;;
9-3.xml;x;;;;x;x;;;;
9-4.xml;;x;;;x;x;;;;
9-4.xml;;x;;;x;x;;;;
9-5.xml;x;x;;;x;;;;;
9-5.xml;x;x;;;x;;;;;
1-1.xml;x;;;;;x;;;;x
1-1.xml;x;;;;;x;;;;x
1-2.xml;x;;x;;;;x;;;
1-2.xml;x;;x;;;;x;;;
1-3.xml;x;;;;;;x;x;;
1-3.xml;x;;;;;;x;x;;
1-4.xml;x;;;;x;;x;;;
1-4.xml;x;;;;x;;x;;;
10-1.xml;;;x;;x;;;;x;
10-1.xml;;;x;;x;;;;x;
10-10.xml;;;;;;x;;x;x;
10-10.xml;;;;;;x;;x;x;
10-11.xml;;;;;x;x;;x;;
10-11.xml;;;;;x;x;;x;;
10-12.xml;x;x;;;;;;x;;
10-12.xml;x;x;;;;;;x;;
10-13.xml;x;x;x;;;;;;;
10-13.xml;x;x;x;;;;;;;
10-14.xml;x;;;;x;;;x;;
10-14.xml;x;;;;x;;;x;;
10-2.xml;x;x;;;;x;;;;
10-2.xml;x;x;;;;x;;;;
10-3.xml;x;;x;;;;;x;;
10-3.xml;x;;x;;;;;x;;
10-4.xml;x;;;;x;;;x;;
10-4.xml;x;;;;x;;;x;;
10-5.xml;;x;;;x;x;;;;
10-5.xml;;x;;;x;x;;;;
10-6.xml;;x;;;x;;;;x;
10-6.xml;;x;;;x;;;;x;
10-7.xml;x;;x;;;;;x;;
10-7.xml;x;;x;;;;;x;;
10-8.xml;;;x;;;x;;x;;
10-8.xml;;;x;;;x;;x;;
10-9.xml;x;x;;;;;;x;;
10-9.xml;x;x;;;;;;x;;
2-1.xml;;;;;;;x;x;x;
2-1.xml;;;;;;;x;x;x;
2-2.xml;x;;;;;;;x;;x
2-2.xml;x;;;;;;;x;;x
3-1.xml;x;;x;;x;;;;;
3-1.xml;x;;x;;x;;;;;
3-2.xml;x;;;;;;x;x;;
3-2.xml;x;;;;;;x;x;;
3-3.xml;;x;;;x;;;;x;
3-3.xml;;x;;;x;;;;x;
3-5.xml;;;;;;x;x;x;;
3-5.xml;;;;;;x;x;x;;
3-6.xml;;;x;;x;;;x;;
3-6.xml;;;x;;x;;;x;;
3-7.xml;;x;x;;x;;;;;
3-7.xml;;x;x;;x;;;;;
3-8.xml;;x;;;x;x;;;;
3-8.xml;;x;;;x;x;;;;
4-1.xml;;x;;;x;x;;;;
4-1.xml;;x;;;x;x;;;;
5-1.xml;x;;x;;;;;;x;
5-1.xml;x;;x;;;;;;x;
5-2.xml;;;x;;x;;;x;;
5-2.xml;;;x;;x;;;x;;
5-3.xml;;x;;;;x;;;x;
5-3.xml;;x;;;;x;;;x;
5-4.xml;;;x;;x;;;x;;
5-4.xml;;;x;;x;;;x;;
6-1.xml;;x;x;;x;;;;;
6-1.xml;;x;x;;x;;;;;
6-2.xml;;x;;;x;x;;;;
6-2.xml;;x;;;x;x;;;;
6-3.xml;;x;;;;x;;x;;
6-3.xml;;x;;;;x;;x;;
6-4.xml;;x;;;x;x;;;;
6-4.xml;;x;;;x;x;;;;
7-1.xml;x;x;;;x;;;;;
7-1.xml;x;x;;;x;;;;;
8-1.xml;x;x;;;;x;;;;
8-1.xml;x;x;;;;x;;;;
8-2.xml;;;;;;x;;x;x;
8-2.xml;;;;;;x;;x;x;
8-3.xml;;;x;;x;;;x;;
8-3.xml;;;x;;x;;;x;;
9-1.xml;x;;;;;x;;x;;
9-1.xml;x;;;;;x;;x;;
9-2.xml;;x;;;x;x;;;;
9-2.xml;;x;;;x;x;;;;
9-3.xml;;x;x;;x;;;;;
9-3.xml;;x;x;;x;;;;;
9-4.xml;x;;x;;;x;;;;
9-4.xml;x;;x;;;x;;;;
9-5.xml;;x;;;x;;;x;;
9-5.xml;;x;;;x;;;x;;
1-1.xml;;;;;;;x;x;x;
1-1.xml;;;;;;;x;x;x;
1-2.xml;;x;;;x;;x;;;
1-2.xml;;x;;;x;;x;;;
1-3.xml;;;;;x;;;;x;x
1-3.xml;;;;;x;;;;x;x
1-4.xml;;;x;;;x;;;;x
1-4.xml;;;x;;;x;;;;x
10-1.xml;x;x;;;;;;;x;
10-1.xml;x;x;;;;;;;x;
10-10.xml;;;;;x;x;;;x;
10-10.xml;;;;;x;x;;;x;
10-11.xml;;x;x;;;x;;;;
10-11.xml;;x;x;;;x;;;;
10-12.xml;;x;;;x;;;x;;
10-12.xml;;x;;;x;;;x;;
10-13.xml;x;x;x;;;;;;;
10-13.xml;x;x;x;;;;;;;
10-14.xml;x;;x;;;;;;x;
10-14.xml;x;;x;;;;;;x;
10-2.xml;;;;;x;x;;;x;
10-2.xml;;;;;x;x;;;x;
10-3.xml;x;;;;x;;;x;;
10-3.xml;x;;;;x;;;x;;
10-4.xml;;x;;;x;;;x;;
10-4.xml;;x;;;x;;;x;;
10-5.xml;x;x;;;x;;;;;
10-5.xml;x;x;;;x;;;;;
10-6.xml;x;x;;;;;;;x;
10-6.xml;x;x;;;;;;;x;
10-7.xml;x;;x;;x;;;;;
10-7.xml;x;;x;;x;;;;;
10-8.xml;;;x;;;x;;;x;
10-8.xml;;;x;;;x;;;x;
10-9.xml;x;x;;;;;;x;;
10-9.xml;x;x;;;;;;x;;
2-1.xml;;x;;;;;;;x;x
2-1.xml;;x;;;;;;;x;x
2-2.xml;x;;;;x;;x;;;
2-2.xml;x;;;;x;;x;;;
3-1.xml;x;x;;;;x;;;;
3-1.xml;x;x;;;;x;;;;
3-2.xml;;;x;;;;x;;x;
3-2.xml;;;x;;;;x;;x;
3-3.xml;x;x;;;;;;;x;
3-3.xml;x;x;;;;;;;x;
3-5.xml;;;x;;x;;x;;;
3-5.xml;;;x;;x;;x;;;
3-6.xml;;;;;x;x;;;x;
3-6.xml;;;;;x;x;;;x;
3-7.xml;x;;x;;x;;;;;
3-7.xml;x;;x;;x;;;;;
3-8.xml;x;x;;;;;;x;;
3-8.xml;x;x;;;;;;x;;
4-1.xml;x;;x;;;;;;x;
4-1.xml;x;;x;;;;;;x;
5-1.xml;x;;;;x;;;x;;
5-1.xml;x;;;;x;;;x;;
5-2.xml;;x;;;x;;;;x;
5-2.xml;;x;;;x;;;;x;
5-3.xml;;;x;;;x;;x;;
5-3.xml;;;x;;;x;;x;;
5-4.xml;x;;;;x;;;x;;
5-4.xml;x;;;;x;;;x;;
6-1.xml;;x;;;;x;;;x;
6-1.xml;;x;;;;x;;;x;
6-2.xml;x;x;;;x;;;;;
6-2.xml;x;x;;;x;;;;;
6-3.xml;x;x;;;;;;x;;
6-3.xml;x;x;;;;;;x;;
6-4.xml;x;;;;;x;;x;;
6-4.xml;x;;;;;x;;x;;
7-1.xml;x;;;;x;;;;x;
7-1.xml;x;;;;x;;;;x;
8-1.xml;;x;;;x;x;;;;
8-1.xml;;x;;;x;x;;;;
8-2.xml;;;x;;x;;;;x;
8-2.xml;;;x;;x;;;;x;
8-3.xml;x;x;;;;;;x;;
8-3.xml;x;x;;;;;;x;;
9-1.xml;x;;;;;;;x;x;
9-1.xml;x;;;;;;;x;x;
9-2.xml;;;x;;x;;;;x;
9-2.xml;;;x;;x;;;;x;
9-3.xml;;;x;;x;x;;;;
9-3.xml;;;x;;x;x;;;;
9-4.xml;x;;x;;;x;;;;
9-4.xml;x;;x;;;x;;;;
9-5.xml;x;x;;;;;;;x;
9-5.xml;x;x;;;;;;;x;
0_ground_truth.xml;;x;;;;;;x;x;
0_ground_truth.xml;;x;;;;;;x;x;
10_ground_truth.xml;x;x;;;;;;;x;
10_ground_truth.xml;x;x;;;;;;;x;
11_ground_truth.xml;;x;;;;;x;x;;
11_ground_truth.xml;;x;;;;;x;x;;
13_ground_truth.xml;;;;;x;;;x;x;
13_ground_truth.xml;;;;;x;;;x;x;
14_ground_truth.xml;;;;;x;x;;x;;
14_ground_truth.xml;;;;;x;x;;x;;
15_ground_truth.xml;x;;;;x;x;;;;
15_ground_truth.xml;x;;;;x;x;;;;
16_ground_truth.xml;x;;;;;x;;x;;
16_ground_truth.xml;x;;;;;x;;x;;
17_ground_truth.xml;;;x;;;x;x;;;
17_ground_truth.xml;;;x;;;x;x;;;
18_ground_truth.xml;;;x;;x;;;;x;
18_ground_truth.xml;;;x;;x;;;;x;
19_ground_truth.xml;x;;;;;;;x;;x
19_ground_truth.xml;x;;;;;;;x;;x
1_ground_truth.xml;x;;;;;x;;x;;
1_ground_truth.xml;x;;;;;x;;x;;
20_ground_truth.xml;x;;x;;;;;;x;
20_ground_truth.xml;x;;x;;;;;;x;
21_ground_truth.xml;;x;x;;;;x;;;
21_ground_truth.xml;;x;x;;;;x;;;
22_ground_truth.xml;;x;;;;x;;;;x
22_ground_truth.xml;;x;;;;x;;;;x
23_ground_truth.xml;;x;x;;;x;;;;
23_ground_truth.xml;;x;x;;;x;;;;
24_ground_truth.xml;x;x;x;;;;;;;
24_ground_truth.xml;x;x;x;;;;;;;
25_ground_truth.xml;;x;;;;;;x;;x
25_ground_truth.xml;;x;;;;;;x;;x
26_ground_truth.xml;;x;;;x;;;x;;
26_ground_truth.xml;;x;;;x;;;x;;
27_ground_truth.xml;x;;x;;;x;;;;
27_ground_truth.xml;x;;x;;;x;;;;
28_ground_truth.xml;x;;x;;;;;;x;
28_ground_truth.xml;x;;x;;;;;;x;
29_ground_truth.xml;x;;;;x;;x;;;
29_ground_truth.xml;x;;;;x;;x;;;
2_ground_truth.xml;;x;x;;;;;x;;
2_ground_truth.xml;;x;x;;;;;x;;
30_ground_truth.xml;x;;;;;;x;;x;
30_ground_truth.xml;x;;;;;;x;;x;
32_ground_truth.xml;x;;;;;;x;;x;
32_ground_truth.xml;x;;;;;;x;;x;
33_ground_truth.xml;;x;;;;;x;;x;
33_ground_truth.xml;;x;;;;;x;;x;
34_ground_truth.xml;x;;;;x;;x;;;
34_ground_truth.xml;x;;;;x;;x;;;
36_ground_truth.xml;x;x;;;;x;;;;
36_ground_truth.xml;x;x;;;;x;;;;
37_ground_truth.xml;x;;x;;;;;;;x
37_ground_truth.xml;x;;x;;;;;;;x
38_ground_truth.xml;x;x;;;;;;;x;
38_ground_truth.xml;x;x;;;;;;;x;
39_ground_truth.xml;x;;;;x;;;;;x
39_ground_truth.xml;x;;;;x;;;;;x
40_ground_truth.xml;;;;;;x;x;x;;
40_ground_truth.xml;;;;;;x;x;x;;
43_ground_truth.xml;;x;;;;x;;;x;
47_ground_truth.xml;x;;;;x;;x;;;
48_ground_truth.xml;;;x;;;x;;;x;
49_ground_truth.xml;x;;x;;x;;;;;
50_ground_truth.xml;;;x;;x;;;x;;
51_ground_truth.xml;;x;;;x;;;;;x
52_ground_truth.xml;;;x;;;;;x;x;
53_ground_truth.xml;;;;;x;x;x;;;
54_ground_truth.xml;;x;x;;x;;;;;
55_ground_truth.xml;;x;;;x;;;x;;
56_ground_truth.xml;x;;;;;x;;x;;
57_ground_truth.xml;x;;x;;;x;;;;
58_ground_truth.xml;x;x;;;;x;;;;
59_ground_truth.xml;;;;;x;;x;;x;
60_ground_truth.xml;;x;x;;x;;;;;
61_ground_truth.xml;;;;;x;;x;;x;
63_ground_truth.xml;x;;;;x;;;x;;
64_ground_truth.xml;;;;;x;x;;;x;
65_ground_truth.xml;x;;;;;x;;;x;
66_ground_truth.xml;;;x;;x;;;x;;
68_ground_truth.xml;;;x;;x;;;;x;
69_ground_truth.xml;;;x;;;;;x;x;
70_ground_truth.xml;;x;x;;x;;;;;
71_ground_truth.xml;;x;;;;x;;;x;
72_ground_truth.xml;;x;x;;;;;;x;
73_ground_truth.xml;;x;x;;;;;x;;
74_ground_truth.xml;;x;;;;x;;x;;
75_ground_truth.xml;;x;x;;;x;;;;
77_ground_truth.xml;x;x;;;x;;;;;
78_ground_truth.xml;x;;;;;x;;;x;
79_ground_truth.xml;x;;;;;;;;x;x
80_ground_truth.xml;;;x;;;x;;;;x
81_ground_truth.xml;;;;;;x;;x;x;
90_ground_truth.xml;;;x;;;;x;;x;
healthcare_pufahl_4.xml;;;;;;x;;;x;x
healthcare_redeker_5.xml;;;x;;;;;;x;x
logistics_cimino_3.xml;;;;;x;;x;x;;
logistics_ferreira_4.xml;;x;;;;x;x;;;
logistics_signavio_2.xml;x;;x;;;;;;;x
manufacturing_lodhi_5.xml;;x;;;;;x;x;;
tourism_milanovic_4.xml;;x;x;;;;x;;;
1-1.xml;;x;;;;;x;x;;
1-2.xml;x;;x;;;;x;;;
1-3.xml;;;x;;;x;;;;x
1-4.xml;;x;;;;x;x;;;
2-1.xml;;;x;;;;;x;;x
2-2.xml;x;;;;;;x;;x;
3-2.xml;;;x;;;;x;;x;
3-5.xml;;;;;;x;x;x;;
11_ground_truth.xml;x;;;;;;x;;x;
17_ground_truth.xml;x;;;;;x;x;;;
19_ground_truth.xml;;;;;;;;x;x;x
21_ground_truth.xml;x;x;;;;;;;;x
22_ground_truth.xml;;x;;;x;;x;;;
25_ground_truth.xml;x;x;;;;;;;;x
29_ground_truth.xml;x;;x;;;;x;;;
30_ground_truth.xml;;;x;;x;;;;;x
32_ground_truth.xml;;;x;;;;x;;x;
33_ground_truth.xml;x;;;;;;x;x;;
34_ground_truth.xml;x;;;;x;;;;;x
37_ground_truth.xml;x;;;;x;;x;;;
39_ground_truth.xml;;x;x;;;;x;;;
40_ground_truth.xml;;x;;;;;x;;x;
47_ground_truth.xml;x;x;;;;;;;;x
51_ground_truth.xml;;x;;;;x;;;;x
53_ground_truth.xml;;x;x;;;;x;;;
59_ground_truth.xml;x;x;;;;;;;;x
61_ground_truth.xml;;;;;x;;x;x;;
79_ground_truth.xml;x;;;;;x;;;;x
80_ground_truth.xml;;x;;;x;;;;;x
90_ground_truth.xml;;x;;;;;x;;x;
healthcare_pufahl_4.xml;x;x;;;;;x;;;
logistics_cimino_3.xml;;x;;;;;x;x;;
logistics_ferreira_4.xml;;;;;;x;x;;x;
tourism_milanovic_4.xml;;x;;;x;;x;;;
1-1.xml;;;x;;;;;;x;x
1-2.xml;;x;;;;x;;;;x
1-3.xml;x;;;;;;x;;x;
2-1.xml;;x;;;;;x;;x;
3-2.xml;;;x;;;;;;x;x
11_ground_truth.xml;x;;x;;;;x;;;
17_ground_truth.xml;;;;;;;x;x;x;
21_ground_truth.xml;;x;;;;x;;;;x
29_ground_truth.xml;;;;;x;;;x;;x
30_ground_truth.xml;;;;;x;;x;x;;
32_ground_truth.xml;x;;x;;;;x;;;
33_ground_truth.xml;;;;;;x;x;x;;
34_ground_truth.xml;;;x;;x;;;;;x
40_ground_truth.xml;;;x;;;x;x;;;
47_ground_truth.xml;;x;x;;;;;;;x
53_ground_truth.xml;;;x;;x;;;;;x
59_ground_truth.xml;;;;;x;;x;x;;
61_ground_truth.xml;;;;;;x;x;;x;
90_ground_truth.xml;;x;;;;;;x;;x
healthcare_redeker_5.xml;;x;;;x;;;;;x
logistics_signavio_2.xml;;;x;;;x;;;;x
manufacturing_lodhi_5.xml;;;x;;;;x;;x;
1-4.xml;x;x;;;;;;;;x
2-2.xml;;;x;;;;;;x;x
3-5.xml;;x;;;;;x;;x;
19_ground_truth.xml;x;;;;;;;;x;x
22_ground_truth.xml;x;;x;;;;x;;;
25_ground_truth.xml;x;;x;;;;;;;x
37_ground_truth.xml;;x;x;;;;x;;;
39_ground_truth.xml;;;x;;;x;;;;x
51_ground_truth.xml;;x;;;;x;x;;;
79_ground_truth.xml;;x;;;x;;x;;;
80_ground_truth.xml;x;;;;;x;;;;x
